# Percolation data
# Grid size: 10x10
# Trials per p: 100
# p	P(percolation)	std_error
0.1000	0.0000	0.0000
0.1500	0.0000	0.0000
0.2000	0.0000	0.0000
0.2500	0.0000	0.0000
0.3000	0.0000	0.0000
0.3500	0.0000	0.0000
0.4000	0.0300	0.0171
0.4500	0.0800	0.0271
0.5000	0.2000	0.0400
0.5500	0.3900	0.0488
0.6000	0.6200	0.0485
0.6500	0.7900	0.0407
0.7000	0.9200	0.0271
0.7500	0.9900	0.0099
0.8000	1.0000	0.0000
0.8500	1.0000	0.0000
0.9000	1.0000	0.0000
