# Percolation data
# Grid size: 5x20
# Trials per p: 100
# p	P(percolation)	std_error
0.1000	0.0000	0.0000
0.1500	0.0100	0.0099
0.2000	0.0100	0.0099
0.2500	0.0800	0.0271
0.3000	0.1400	0.0347
0.3500	0.2100	0.0407
0.4000	0.4800	0.0500
0.4500	0.7200	0.0449
0.5000	0.7800	0.0414
0.5500	0.9400	0.0237
0.6000	0.9900	0.0099
0.6500	1.0000	0.0000
0.7000	1.0000	0.0000
0.7500	1.0000	0.0000
0.8000	1.0000	0.0000
0.8500	1.0000	0.0000
0.9000	1.0000	0.0000
