# Percolation data
# Grid size: 20x5
# Trials per p: 100
# p	P(percolation)	std_error
0.1000	0.0000	0.0000
0.1500	0.0000	0.0000
0.2000	0.0000	0.0000
0.2500	0.0000	0.0000
0.3000	0.0000	0.0000
0.3500	0.0000	0.0000
0.4000	0.0000	0.0000
0.4500	0.0000	0.0000
0.5000	0.0000	0.0000
0.5500	0.0000	0.0000
0.6000	0.1000	0.0300
0.6500	0.1300	0.0336
0.7000	0.3400	0.0474
0.7500	0.5900	0.0492
0.8000	0.8000	0.0400
0.8500	0.8700	0.0336
0.9000	1.0000	0.0000
